"","SEQN","INDFMMPI","INDFMMPC","INQ300","IND310"
"1100",131477,NA,NA,NA,NA
"1101",131478,0.97,1,2,1
"1102",131479,0.53,1,2,1
"1103",131480,NA,NA,NA,NA
"1104",131481,1.48,2,2,1
"1105",131482,5,3,1,NA
"1106",131483,4.87,3,2,5
"1107",131484,5,3,1,NA
"1108",131485,NA,7,2,77
"1109",131486,2.29,3,1,NA
"1110",131487,5,3,1,NA
"1111",131488,2.9,3,2,1
"1112",131489,0.66,1,2,1
"1113",131490,NA,9,9,NA
"1114",131491,5,3,2,5
"1115",131492,0.23,1,2,1
"1116",131493,1.6,2,2,1
"1117",131494,NA,9,2,1
"1118",131495,5,3,1,NA
"1119",131496,2.43,3,2,1
"1120",131497,1.29,1,2,1
"1121",131498,1.38,2,2,1
"1122",131499,NA,3,1,NA
"1123",131500,2.59,3,1,NA
"1124",131501,4.34,3,1,NA
"1125",131502,NA,1,9,NA
"1126",131503,3.47,3,2,1
"1127",131504,NA,2,2,1
"1128",131505,2.62,3,2,3
"1129",131506,1.9,3,1,NA
"1130",131507,0.97,1,2,1
"1131",131508,2.62,3,1,NA
"1132",131509,2.8,3,1,NA
"1133",131510,NA,3,1,NA
"1134",131511,0.36,1,2,1
"1135",131512,5,3,2,2
"1136",131513,2.53,3,1,NA
"1137",131514,NA,3,1,NA
"1138",131515,NA,NA,NA,NA
"1139",131516,NA,9,2,1
"1140",131517,0.58,1,2,2
"1141",131518,NA,NA,NA,NA
"1142",131519,NA,1,2,4
"1143",131520,0.88,1,2,1
"1144",131521,0.74,1,2,1
"1145",131522,5,3,1,NA
"1146",131523,1.48,2,2,1
"1147",131524,1.3,1,2,1
"1148",131525,NA,NA,NA,NA
"1149",131526,5,3,1,NA
"1150",131527,1.06,1,1,NA
"1151",131528,3.79,3,2,4
"1152",131529,NA,1,2,1
"1153",131530,3.11,3,1,NA
"1154",131531,0.63,1,2,1
"1155",131532,4.42,3,1,NA
"1156",131533,5,3,1,NA
"1157",131534,4.32,3,1,NA
"1158",131535,1.2,1,2,1
"1159",131536,0.52,1,2,1
"1160",131537,0.78,1,2,1
"1161",131538,5,3,1,NA
"1162",131539,5,3,1,NA
"1163",131540,5,3,1,NA
"1164",131541,1.52,2,2,1
"1165",131542,NA,NA,NA,NA
"1166",131543,NA,NA,NA,NA
"1167",131544,1.03,1,2,1
"1168",131545,NA,NA,NA,NA
"1169",131546,NA,NA,NA,NA
"1170",131547,NA,9,2,1
"1171",131548,2.22,3,1,NA
"1172",131549,2.61,3,2,2
"1173",131550,4.59,3,1,NA
"1174",131551,5,3,1,NA
"1175",131552,3.13,3,7,NA
"1176",131553,1.54,2,2,3
"1177",131554,4.86,3,1,NA
"1178",131555,0.27,1,2,1
"1179",131556,2.65,3,1,NA
"1180",131557,5,3,2,5
"1181",131558,NA,NA,NA,NA
"1182",131559,1.4,2,2,1
"1183",131560,2.03,3,2,4
"1184",131561,0.72,1,2,1
"1185",131562,2,3,1,NA
"1186",131563,NA,NA,NA,NA
"1187",131564,NA,NA,NA,NA
"1188",131565,2.21,3,2,3
"1189",131566,5,3,1,NA
"1190",131567,5,3,1,NA
"1191",131568,2.62,3,1,NA
"1192",131569,1.6,2,2,1
"1193",131570,2.19,3,2,1
"1194",131571,NA,NA,NA,NA
"1195",131572,NA,NA,NA,NA
"1196",131573,5,3,1,NA
"1197",131574,NA,1,2,1
"1198",131575,5,3,1,NA
"1199",131576,1.61,2,2,1
"1200",131577,4,3,1,NA
"1201",131578,NA,NA,NA,NA
"1202",131579,1.64,2,2,1
"1203",131580,0,1,2,1
"1204",131581,1.62,2,1,NA
"1205",131582,5,3,2,2
"1206",131583,0,1,2,1
"1207",131584,NA,NA,NA,NA
